Luas Bangunan,Luas Tanah,Jumlah Lantai,Lokasi,Tipe Perumahan,Pagar,Bentuk Tanah,Lebar Jalan,Daya Listrik,Jumlah Carport & Garasi Dalam,Material ,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Air,Jumlah Fasilitas Tambahan,Harga
1.050988724,-0.131400289,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,-0.725761877,-0.246546582,1.708291853,1.852872223,0.905984972,-0.805687611,-0.153703438,0.12539095
-0.096685583,-0.163662253,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,-1.45436988,-0.246546582,-0.703414292,0.134266103,-0.675370616,-0.805687611,0.413816949,-0.734946689
5.641685953,3.664757428,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,4.92095014,2.120300604,1.708291853,0.993569163,1.696662766,-0.805687611,-0.153703438,4.515773743
0.333692282,-0.679853671,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.044282457,-0.725761877,-0.246546582,-0.703414292,0.993569163,0.115307178,1.28474511,-1.288744212,-0.495471264
-0.670522736,0.341775177,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,-2.274053882,-1.429970175,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-1.288744212,-0.273734759
0.620610859,-0.626083731,1.760048292,-3.299305482,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,1.708291853,1.852872223,1.696662766,-0.805687611,-1.288744212,0.524516658
1.337907301,-0.421757962,2.909467585,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.907913878,-0.246546582,1.708291853,0.993569163,0.905984972,1.28474511,-1.288744212,-0.007650953
0.764070147,0.481577019,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,2.515861458,0.913606128,0.936877011,1.708291853,0.993569163,0.115307178,-0.805687611,0.413816949,0.16973825
2.34212232,0.868720582,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,0.913606128,0.936877011,0.50243878,1.852872223,1.696662766,-0.805687611,-0.721223825,1.189726172
-0.986133171,-0.636837719,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.746622823,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.757120339
-0.785290167,-0.959457355,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.720711205
-0.785290167,-0.636837719,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.613255478
-0.957441313,-0.808901525,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.841380211
-0.297528587,-0.744377598,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.672860467
0.11850335,-1.066997234,1.760048292,0.299936862,1.127972264,-0.858888464,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,0.134266103,0.115307178,-0.805687611,2.11637811,-0.482167073
-0.828327954,-0.421757962,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,0.913606128,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.690484085
-0.828327954,-0.163662253,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,0.913606128,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.633755018
-0.555755306,-0.163662253,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,0.913606128,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.569389345
-0.555755306,0.094433456,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,0.913606128,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.511569334
-0.168415227,0.008401553,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,0.913606128,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.344654963
-0.455333804,0.868720582,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,0.913606128,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.222469279
1.782631095,0.008401553,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,1.527229858,0.913606128,-0.246546582,-0.703414292,0.993569163,0.115307178,-0.805687611,-0.153703438,-0.01082622
1.337907301,0.868720582,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,0.538598257,0.913606128,-0.246546582,-0.703414292,0.134266103,-0.675370616,-0.805687611,-0.153703438,0.266273455
-1.014825029,-0.937949379,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.90612727
-0.885711669,-0.744377598,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.844927995
-0.813982025,-0.744377598,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.742929203
-0.527063448,-0.099138326,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.680842982
-0.527063448,0.567608922,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.522079644
-0.096685583,-0.744377598,1.760048292,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,0.913606128,-0.246546582,1.708291853,-0.725036957,0.115307178,1.28474511,0.981337336,0.126721369
0.075465563,-0.292710107,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,0.913606128,-0.246546582,1.708291853,0.134266103,-0.675370616,1.28474511,0.981337336,0.517509784
0.23327078,-0.152908265,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,0.913606128,-0.246546582,1.708291853,0.134266103,-0.675370616,1.28474511,0.981337336,0.682038271
0.620610859,0.309513213,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,0.913606128,-0.246546582,1.708291853,0.134266103,-0.675370616,1.28474511,0.981337336,1.170035971
1.337907301,1.255864146,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-0.450033343,0.913606128,-0.246546582,1.708291853,0.134266103,-0.675370616,1.28474511,0.981337336,2.137339299
-1.014825029,-0.873425452,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.859119131
-1.014825029,-0.841163489,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.852467036
-0.986133171,-0.937949379,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.859119131
-0.986133171,-0.841163489,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.839162846
